time,sensor_id,wert,vibration_level
2025-10-15 17:28:32.984+02,AnalogValue,430,Mittel
2025-10-15 17:28:32.994+02,AnalogValue,604,Mittel
2025-10-15 17:28:33.004+02,AnalogValue,673,Mittel
2025-10-15 17:28:33.014+02,AnalogValue,546,Mittel
2025-10-15 17:28:33.034+02,AnalogValue,398,Mittel
2025-10-15 17:28:33.044+02,AnalogValue,552,Mittel
2025-10-15 17:28:33.054+02,AnalogValue,383,Mittel
2025-10-15 17:28:33.064+02,AnalogValue,513,Mittel
2025-10-15 17:28:33.074+02,AnalogValue,592,Mittel
2025-10-15 17:28:33.084+02,AnalogValue,544,Mittel
2025-10-15 17:28:33.094+02,AnalogValue,428,Mittel
2025-10-15 17:28:33.104+02,AnalogValue,564,Mittel
2025-10-15 17:28:33.114+02,AnalogValue,522,Mittel
2025-10-15 17:28:33.124+02,AnalogValue,449,Mittel
2025-10-15 17:28:33.144+02,AnalogValue,544,Mittel
2025-10-15 17:28:33.154+02,AnalogValue,424,Mittel
2025-10-15 17:28:33.164+02,AnalogValue,471,Mittel
2025-10-15 17:28:33.174+02,AnalogValue,472,Mittel
2025-10-15 17:28:33.184+02,AnalogValue,402,Mittel
2025-10-15 17:28:33.194+02,AnalogValue,459,Mittel
2025-10-15 17:28:33.204+02,AnalogValue,465,Mittel
2025-10-15 17:28:33.214+02,AnalogValue,351,Mittel
2025-10-15 17:28:33.224+02,AnalogValue,495,Mittel
2025-10-15 17:28:33.234+02,AnalogValue,445,Mittel
2025-10-15 17:28:33.254+02,AnalogValue,440,Mittel
2025-10-15 17:28:33.264+02,AnalogValue,502,Mittel
2025-10-15 17:28:33.274+02,AnalogValue,360,Mittel
2025-10-15 17:28:33.284+02,AnalogValue,342,Mittel
2025-10-15 17:28:33.294+02,AnalogValue,368,Mittel
2025-10-15 17:28:33.304+02,AnalogValue,333,Mittel
2025-10-15 17:28:33.314+02,AnalogValue,437,Mittel
2025-10-15 17:28:33.324+02,AnalogValue,389,Mittel
2025-10-15 17:28:33.334+02,AnalogValue,496,Mittel
2025-10-15 17:28:33.344+02,AnalogValue,401,Mittel
2025-10-15 17:28:33.364+02,AnalogValue,498,Mittel
2025-10-15 17:28:33.374+02,AnalogValue,420,Mittel
2025-10-15 17:28:33.384+02,AnalogValue,492,Mittel
2025-10-15 17:28:33.394+02,AnalogValue,288,Mittel
2025-10-15 17:28:33.404+02,AnalogValue,412,Mittel
2025-10-15 17:28:33.414+02,AnalogValue,267,Mittel
2025-10-15 17:28:33.424+02,AnalogValue,347,Mittel
2025-10-15 17:28:33.434+02,AnalogValue,293,Mittel
2025-10-15 17:28:33.444+02,AnalogValue,331,Mittel
2025-10-15 17:28:33.454+02,AnalogValue,331,Mittel
2025-10-15 17:28:33.474+02,AnalogValue,337,Mittel
2025-10-15 17:28:33.484+02,AnalogValue,356,Mittel
2025-10-15 17:28:33.494+02,AnalogValue,445,Mittel
2025-10-15 17:28:33.504+02,AnalogValue,371,Mittel
2025-10-15 17:28:33.514+02,AnalogValue,277,Mittel
2025-10-15 17:28:33.524+02,AnalogValue,289,Mittel
2025-10-15 17:28:33.534+02,AnalogValue,420,Mittel
2025-10-15 17:28:33.544+02,AnalogValue,387,Mittel
2025-10-15 17:28:33.554+02,AnalogValue,426,Mittel
2025-10-15 17:28:33.564+02,AnalogValue,319,Mittel
2025-10-15 17:28:33.584+02,AnalogValue,467,Mittel
2025-10-15 17:28:33.594+02,AnalogValue,490,Mittel
2025-10-15 17:28:33.604+02,AnalogValue,316,Mittel
2025-10-15 17:28:33.614+02,AnalogValue,312,Mittel
2025-10-15 17:28:33.624+02,AnalogValue,412,Mittel
2025-10-15 17:28:33.634+02,AnalogValue,172,Mittel
2025-10-15 17:28:33.644+02,AnalogValue,82,Niedrig
2025-10-15 17:28:33.654+02,AnalogValue,362,Mittel
2025-10-15 17:28:33.664+02,AnalogValue,211,Mittel
2025-10-15 17:28:33.674+02,AnalogValue,406,Mittel
2025-10-15 17:28:33.694+02,AnalogValue,238,Mittel
2025-10-15 17:28:33.704+02,AnalogValue,25,Niedrig
2025-10-15 17:28:33.714+02,AnalogValue,258,Mittel
2025-10-15 17:28:33.724+02,AnalogValue,309,Mittel
2025-10-15 17:28:33.734+02,AnalogValue,302,Mittel
2025-10-15 17:28:33.744+02,AnalogValue,344,Mittel
2025-10-15 17:28:33.754+02,AnalogValue,333,Mittel
2025-10-15 17:28:33.764+02,AnalogValue,254,Mittel
2025-10-15 17:28:33.774+02,AnalogValue,250,Mittel
2025-10-15 17:28:33.784+02,AnalogValue,251,Mittel
2025-10-15 17:28:33.804+02,AnalogValue,10,Niedrig
2025-10-15 17:28:33.814+02,AnalogValue,300,Mittel
2025-10-15 17:28:33.824+02,AnalogValue,126,Mittel
2025-10-15 17:28:33.834+02,AnalogValue,284,Mittel
2025-10-15 17:28:33.844+02,AnalogValue,204,Mittel
2025-10-15 17:28:33.854+02,AnalogValue,206,Mittel
2025-10-15 17:28:33.864+02,AnalogValue,308,Mittel
2025-10-15 17:28:33.874+02,AnalogValue,226,Mittel
2025-10-15 17:28:33.884+02,AnalogValue,281,Mittel
2025-10-15 17:28:33.894+02,AnalogValue,199,Mittel
2025-10-15 17:28:33.914+02,AnalogValue,274,Mittel
2025-10-15 17:28:33.924+02,AnalogValue,125,Mittel
2025-10-15 17:28:33.934+02,AnalogValue,188,Mittel
2025-10-15 17:28:33.944+02,AnalogValue,249,Mittel
2025-10-15 17:28:33.954+02,AnalogValue,298,Mittel
2025-10-15 17:28:33.964+02,AnalogValue,316,Mittel
2025-10-15 17:28:33.974+02,AnalogValue,218,Mittel
2025-10-15 17:28:33.984+02,AnalogValue,188,Mittel
2025-10-15 17:28:33.994+02,AnalogValue,254,Mittel
2025-10-15 17:28:34.004+02,AnalogValue,177,Mittel
2025-10-15 17:28:34.024+02,AnalogValue,302,Mittel
2025-10-15 17:28:34.034+02,AnalogValue,172,Mittel
2025-10-15 17:28:34.044+02,AnalogValue,289,Mittel
2025-10-15 17:28:34.054+02,AnalogValue,374,Mittel
2025-10-15 17:28:34.064+02,AnalogValue,249,Mittel
2025-10-15 17:28:34.074+02,AnalogValue,90,Niedrig
2025-10-15 17:28:34.084+02,AnalogValue,228,Mittel
2025-10-15 17:28:34.094+02,AnalogValue,254,Mittel
2025-10-15 17:28:34.104+02,AnalogValue,200,Mittel
2025-10-15 17:28:34.114+02,AnalogValue,196,Mittel
2025-10-15 17:28:34.134+02,AnalogValue,254,Mittel
2025-10-15 17:28:34.144+02,AnalogValue,323,Mittel
2025-10-15 17:28:34.154+02,AnalogValue,168,Mittel
2025-10-15 17:28:34.164+02,AnalogValue,180,Mittel
2025-10-15 17:28:34.174+02,AnalogValue,199,Mittel
2025-10-15 17:28:34.184+02,AnalogValue,273,Mittel
2025-10-15 17:28:34.194+02,AnalogValue,176,Mittel
2025-10-15 17:28:34.204+02,AnalogValue,110,Mittel
2025-10-15 17:28:34.214+02,AnalogValue,302,Mittel
2025-10-15 17:28:34.224+02,AnalogValue,228,Mittel
2025-10-15 17:28:34.244+02,AnalogValue,340,Mittel
2025-10-15 17:28:34.254+02,AnalogValue,282,Mittel
2025-10-15 17:28:34.264+02,AnalogValue,126,Mittel
2025-10-15 17:28:34.274+02,AnalogValue,114,Mittel
2025-10-15 17:28:34.284+02,AnalogValue,195,Mittel
2025-10-15 17:28:34.294+02,AnalogValue,253,Mittel
2025-10-15 17:28:34.304+02,AnalogValue,185,Mittel
2025-10-15 17:28:34.314+02,AnalogValue,168,Mittel
2025-10-15 17:28:34.324+02,AnalogValue,173,Mittel
2025-10-15 17:28:34.334+02,AnalogValue,284,Mittel
2025-10-15 17:28:34.354+02,AnalogValue,123,Mittel
2025-10-15 17:28:34.364+02,AnalogValue,5,Niedrig
2025-10-15 17:28:34.374+02,AnalogValue,187,Mittel
2025-10-15 17:28:34.384+02,AnalogValue,193,Mittel
2025-10-15 17:28:34.394+02,AnalogValue,103,Mittel
2025-10-15 17:28:34.404+02,AnalogValue,253,Mittel
2025-10-15 17:28:34.414+02,AnalogValue,131,Mittel
2025-10-15 17:28:34.424+02,AnalogValue,88,Niedrig
